prompt_id,sample_id,timestep,concept_a,concept_b,prompt_text,text_embedding_path,image_latent_path,noise_pred_path
1,0,8,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_000_t08.pt,image_trajectories/prompt_001/sample_000_noise.pt
1,1,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_001_t04.pt,image_trajectories/prompt_001/sample_001_noise.pt
1,2,6,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_002_t06.pt,image_trajectories/prompt_001/sample_002_noise.pt
1,3,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_003_t05.pt,image_trajectories/prompt_001/sample_003_noise.pt
1,4,9,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_004_t09.pt,image_trajectories/prompt_001/sample_004_noise.pt
1,5,10,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_005_t10.pt,image_trajectories/prompt_001/sample_005_noise.pt
1,6,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_006_t04.pt,image_trajectories/prompt_001/sample_006_noise.pt
1,7,9,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_007_t09.pt,image_trajectories/prompt_001/sample_007_noise.pt
1,8,9,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_008_t09.pt,image_trajectories/prompt_001/sample_008_noise.pt
1,9,8,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_009_t08.pt,image_trajectories/prompt_001/sample_009_noise.pt
1,10,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_010_t04.pt,image_trajectories/prompt_001/sample_010_noise.pt
1,11,6,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_011_t06.pt,image_trajectories/prompt_001/sample_011_noise.pt
1,12,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_012_t04.pt,image_trajectories/prompt_001/sample_012_noise.pt
1,13,10,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_013_t10.pt,image_trajectories/prompt_001/sample_013_noise.pt
1,14,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_014_t07.pt,image_trajectories/prompt_001/sample_014_noise.pt
1,15,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_015_t05.pt,image_trajectories/prompt_001/sample_015_noise.pt
1,16,10,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_016_t10.pt,image_trajectories/prompt_001/sample_016_noise.pt
1,17,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_017_t07.pt,image_trajectories/prompt_001/sample_017_noise.pt
1,18,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_018_t05.pt,image_trajectories/prompt_001/sample_018_noise.pt
1,19,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_019_t07.pt,image_trajectories/prompt_001/sample_019_noise.pt
1,20,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_020_t07.pt,image_trajectories/prompt_001/sample_020_noise.pt
1,21,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_021_t07.pt,image_trajectories/prompt_001/sample_021_noise.pt
1,22,8,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_022_t08.pt,image_trajectories/prompt_001/sample_022_noise.pt
1,23,10,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_023_t10.pt,image_trajectories/prompt_001/sample_023_noise.pt
1,24,6,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_024_t06.pt,image_trajectories/prompt_001/sample_024_noise.pt
1,25,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_025_t04.pt,image_trajectories/prompt_001/sample_025_noise.pt
1,26,8,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_026_t08.pt,image_trajectories/prompt_001/sample_026_noise.pt
1,27,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_027_t05.pt,image_trajectories/prompt_001/sample_027_noise.pt
1,28,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_028_t04.pt,image_trajectories/prompt_001/sample_028_noise.pt
1,29,9,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_029_t09.pt,image_trajectories/prompt_001/sample_029_noise.pt
1,30,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_030_t07.pt,image_trajectories/prompt_001/sample_030_noise.pt
1,31,8,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_031_t08.pt,image_trajectories/prompt_001/sample_031_noise.pt
1,32,4,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_032_t04.pt,image_trajectories/prompt_001/sample_032_noise.pt
1,33,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_033_t05.pt,image_trajectories/prompt_001/sample_033_noise.pt
1,34,8,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_034_t08.pt,image_trajectories/prompt_001/sample_034_noise.pt
1,35,7,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_035_t07.pt,image_trajectories/prompt_001/sample_035_noise.pt
1,36,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_036_t05.pt,image_trajectories/prompt_001/sample_036_noise.pt
1,37,10,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_037_t10.pt,image_trajectories/prompt_001/sample_037_noise.pt
1,38,5,Ice Cream,Cone,A scoop of ice cream served in a crunchy cone.,text_embeddings/prompt_001.pt,image_trajectories/prompt_001/sample_038_t05.pt,image_trajectories/prompt_001/sample_038_noise.pt
